DefectID,InspectionID,DefectCategoryID,RootCauseID,DefectQuantity,Severity,ScrapQuantity,ReworkQuantity,DefectCost
DFT000001,INS000002,DEF001,RC005,2,Minor,0,2,63.02
DFT000002,INS000008,DEF009,RC002,2,Minor,0,2,63.02
DFT000003,INS000014,DEF010,RC001,1,Major,1,0,112.53
DFT000004,INS000017,DEF010,RC005,1,Major,0,1,39.39
DFT000005,INS000021,DEF006,RC005,1,Minor,0,1,31.51
DFT000006,INS000023,DEF007,RC002,2,Major,2,0,225.07
DFT000007,INS000030,DEF001,RC008,1,Critical,1,0,157.55
DFT000008,INS000033,DEF005,RC010,3,Minor,0,3,94.53
DFT000009,INS000037,DEF004,RC005,1,Major,0,1,39.39
DFT000010,INS000039,DEF008,RC006,1,Minor,0,1,31.51
DFT000011,INS000044,DEF011,RC002,20,Minor,0,20,630.19
DFT000012,INS000050,DEF008,RC007,2,Critical,1,1,212.69
DFT000013,INS000059,DEF001,RC004,1,Major,1,0,112.53
DFT000014,INS000063,DEF004,RC010,11,Minor,0,11,346.6
DFT000015,INS000064,DEF011,RC008,1,Minor,0,1,31.51
DFT000016,INS000076,DEF005,RC010,4,Major,3,1,376.99
DFT000017,INS000077,DEF003,RC009,4,Minor,0,4,126.04
DFT000018,INS000078,DEF011,RC003,11,Minor,0,11,346.6
DFT000019,INS000083,DEF008,RC009,1,Critical,1,0,157.55
DFT000020,INS000084,DEF002,RC009,3,Major,2,1,264.45
DFT000021,INS000087,DEF007,RC003,4,Minor,0,4,126.04
DFT000022,INS000092,DEF009,RC003,1,Major,1,0,112.53
DFT000023,INS000099,DEF009,RC010,2,Minor,0,2,63.02
DFT000024,INS000099,DEF009,RC009,1,Minor,0,1,31.51
DFT000025,INS000100,DEF006,RC005,2,Minor,0,2,63.02
DFT000026,INS000107,DEF002,RC008,1,Critical,1,0,157.55
DFT000027,INS000114,DEF008,RC009,1,Minor,0,1,31.51
DFT000028,INS000115,DEF004,RC009,1,Major,1,0,112.53
DFT000029,INS000116,DEF011,RC006,4,Major,3,1,376.99
DFT000030,INS000116,DEF002,RC004,1,Minor,0,1,31.51
DFT000031,INS000117,DEF010,RC004,1,Minor,0,1,31.51
DFT000032,INS000119,DEF001,RC006,1,Minor,0,1,31.51
DFT000033,INS000125,DEF009,RC003,2,Minor,0,2,63.02
DFT000034,INS000126,DEF002,RC002,1,Minor,0,1,31.51
DFT000035,INS000130,DEF001,RC002,1,Minor,0,1,31.51
DFT000036,INS000130,DEF002,RC004,1,Minor,0,1,31.51
DFT000037,INS000136,DEF005,RC008,1,Major,0,1,39.39
DFT000038,INS000140,DEF009,RC002,1,Major,0,1,39.39
DFT000039,INS000141,DEF004,RC003,4,Minor,0,4,126.04
DFT000040,INS000141,DEF007,RC001,1,Minor,1,0,90.03
DFT000041,INS000151,DEF008,RC005,7,Major,7,0,787.73
DFT000042,INS000152,DEF005,RC004,1,Minor,0,1,31.51
DFT000043,INS000156,DEF001,RC001,5,Minor,0,5,157.55
DFT000044,INS000173,DEF001,RC009,1,Major,0,1,39.39
DFT000045,INS000176,DEF011,RC004,2,Minor,0,2,63.02
DFT000046,INS000187,DEF010,RC001,20,Minor,0,20,630.19
DFT000047,INS000189,DEF006,RC005,1,Major,1,0,112.53
DFT000048,INS000191,DEF007,RC003,2,Minor,0,2,63.02
DFT000049,INS000196,DEF001,RC008,3,Critical,1,2,267.83
DFT000050,INS000198,DEF004,RC009,1,Minor,0,1,31.51
DFT000051,INS000199,DEF004,RC006,2,Minor,0,2,63.02
DFT000052,INS000200,DEF010,RC009,1,Major,1,0,112.53
DFT000053,INS000202,DEF002,RC003,2,Minor,0,2,63.02
DFT000054,INS000204,DEF005,RC005,1,Major,0,1,39.39
DFT000055,INS000205,DEF005,RC009,16,Minor,0,16,504.15
