DeliveryID,POLineID,DeliveryDate,ReceivedQuantity,RejectedQuantity,DelayDays,OnTimeFlag
DEL000001,POL014593,2025-10-05,2047,0,0,True
DEL000002,POL018290,2024-12-30,4094,0,1,False
DEL000003,POL071483,2026-01-19,2666,0,0,True
DEL000004,POL012281,2026-07-16,1844,0,0,True
DEL000005,POL073564,2026-03-01,1060,0,0,True
DEL000006,POL054988,2025-05-15,2019,0,0,True
DEL000007,POL000852,2024-11-16,572,0,2,False
DEL000008,POL044598,2024-10-18,1787,2,0,True
DEL000009,POL044119,2025-03-08,2719,0,0,True
DEL000010,POL045083,2024-11-09,1241,0,0,True
DEL000011,POL060218,2024-11-15,2804,0,0,True
DEL000012,POL038428,2025-03-21,2409,0,2,False
DEL000013,POL009117,2026-06-01,2021,0,0,True
DEL000014,POL010459,2025-07-20,1663,0,3,False
DEL000015,POL059430,2026-02-25,641,0,0,True
DEL000016,POL046567,2025-03-01,2049,0,0,True
DEL000017,POL009359,2026-05-21,1792,0,0,True
DEL000018,POL032088,2025-03-12,2577,0,0,True
DEL000019,POL073001,2025-09-28,2542,0,0,True
DEL000020,POL007332,2026-06-26,1458,0,0,True
DEL000021,POL052582,2025-01-19,1919,1,0,True
DEL000022,POL074342,2026-02-09,37,0,3,False
DEL000023,POL065436,2025-08-25,3838,0,0,True
DEL000024,POL034719,2024-11-03,2185,0,0,True
DEL000025,POL034439,2025-03-19,1448,0,1,False
DEL000026,POL052351,2026-07-06,1524,0,0,True
DEL000027,POL011916,2024-10-15,443,0,2,False
DEL000028,POL020970,2026-03-27,375,0,2,False
DEL000029,POL050433,2024-10-15,1738,0,0,True
DEL000030,POL072513,2024-12-18,1183,0,3,False
DEL000031,POL015015,2025-08-23,3641,0,1,False
DEL000032,POL044588,2025-03-18,1711,0,0,True
DEL000033,POL000426,2025-06-18,253,5,7,False
DEL000034,POL023417,2026-02-22,1364,0,0,True
DEL000035,POL039118,2026-03-02,1590,0,3,False
DEL000036,POL020033,2024-09-15,1657,0,0,True
DEL000037,POL069515,2026-07-07,440,0,5,False
DEL000038,POL002553,2024-12-16,2884,0,0,True
DEL000039,POL040307,2026-01-20,530,0,0,True
DEL000040,POL010323,2026-03-19,3443,0,0,True
DEL000041,POL069823,2026-04-16,1531,0,2,False
DEL000042,POL072064,2025-05-28,3566,0,0,True
DEL000043,POL055462,2026-01-13,1366,0,10,False
DEL000044,POL026366,2025-12-14,1405,20,1,False
DEL000045,POL048945,2025-01-11,1906,0,0,True
DEL000046,POL032494,2024-10-14,2332,0,0,True
DEL000047,POL072604,2024-08-11,2218,0,0,True
DEL000048,POL007717,2025-07-22,843,0,0,True
DEL000049,POL009288,2026-03-15,646,0,0,True
DEL000050,POL028081,2024-11-07,1079,2,0,True
DEL000051,POL074848,2024-10-16,1232,0,0,True
DEL000052,POL053355,2025-01-07,1430,0,0,True
DEL000053,POL046439,2025-07-07,894,0,0,True
DEL000054,POL007101,2024-12-22,3877,0,1,False
DEL000055,POL052773,2025-11-19,621,0,1,False
DEL000056,POL032592,2025-12-07,818,0,0,True
DEL000057,POL055297,2026-01-03,2895,0,0,True
DEL000058,POL009881,2024-10-25,1790,0,0,True
DEL000059,POL070856,2026-02-01,657,1,3,False
DEL000060,POL030983,2026-04-29,1441,0,0,True
DEL000061,POL052566,2025-12-28,1894,0,5,False
DEL000062,POL051174,2025-10-30,147,0,0,True
DEL000063,POL037389,2026-06-06,4440,20,0,True
DEL000064,POL072846,2024-11-02,1858,0,1,False
DEL000065,POL038891,2026-06-16,1664,0,0,True
DEL000066,POL071067,2025-06-30,1322,0,0,True
DEL000067,POL076570,2026-06-01,3339,0,0,True
DEL000068,POL066563,2024-09-12,1242,0,0,True
DEL000069,POL008908,2026-02-07,1300,0,1,False
DEL000070,POL074669,2024-11-22,1173,0,0,True
DEL000071,POL054949,2025-04-30,1942,0,1,False
DEL000072,POL034180,2025-04-09,274,0,0,True
DEL000073,POL051877,2025-03-18,1077,0,0,True
DEL000074,POL041442,2026-06-12,406,0,5,False
DEL000075,POL073793,2026-02-28,348,0,14,False
DEL000076,POL066308,2025-10-21,2905,0,0,True
DEL000077,POL032019,2024-12-16,1637,0,0,True
DEL000078,POL071201,2024-10-08,3922,10,1,False
DEL000079,POL069330,2026-04-02,2502,0,0,True
DEL000080,POL013578,2025-12-15,1801,0,7,False
DEL000081,POL014030,2026-07-04,941,0,1,False
DEL000082,POL079277,2026-05-14,2392,0,0,True
DEL000083,POL034601,2025-12-26,679,1,0,True
DEL000084,POL006659,2024-11-08,2682,0,0,True
DEL000085,POL005779,2026-04-14,825,0,0,True
DEL000086,POL034336,2026-02-06,1526,0,0,True
DEL000087,POL056058,2024-11-16,1478,0,0,True
DEL000088,POL019537,2025-06-06,2928,0,0,True
DEL000089,POL019411,2025-05-18,655,0,0,True
DEL000090,POL005230,2025-12-05,2102,0,5,False
DEL000091,POL013474,2025-06-01,1956,0,0,True
DEL000092,POL053265,2024-08-22,1944,1,10,False
DEL000093,POL031030,2025-08-19,122,0,3,False
DEL000094,POL003249,2025-12-17,567,0,0,True
DEL000095,POL053965,2024-12-17,474,0,2,False
DEL000096,POL014169,2025-12-04,566,0,0,True
DEL000097,POL029155,2026-08-03,3130,0,0,True
DEL000098,POL029832,2024-10-04,260,0,0,True
DEL000099,POL043026,2026-06-27,410,5,0,True
DEL000100,POL036586,2025-08-01,788,0,0,True
DEL000101,POL070283,2025-09-30,461,0,0,True
DEL000102,POL034238,2024-10-28,1001,0,0,True
DEL000103,POL078194,2026-03-12,2420,0,0,True
DEL000104,POL067034,2025-05-03,1332,0,0,True
DEL000105,POL033387,2024-07-26,1768,0,0,True
DEL000106,POL070576,2024-08-25,3937,0,1,False
DEL000107,POL056532,2025-01-15,2195,1,0,True
DEL000108,POL041146,2026-05-14,553,0,1,False
DEL000109,POL039364,2024-07-19,4086,0,0,True
DEL000110,POL052744,2025-08-22,1439,0,1,False
DEL000111,POL049696,2025-04-03,488,0,1,False
DEL000112,POL039447,2026-01-29,62,0,0,True
DEL000113,POL027550,2024-08-11,909,0,0,True
DEL000114,POL042238,2026-07-24,2766,0,0,True
DEL000115,POL067001,2026-03-31,2716,2,0,True
DEL000116,POL022242,2026-05-13,1440,0,1,False
DEL000117,POL043934,2026-05-03,2096,0,0,True
DEL000118,POL029445,2026-03-30,1619,0,2,False
DEL000119,POL032093,2025-09-22,675,0,14,False
DEL000120,POL075455,2026-06-20,2530,0,0,True
DEL000121,POL031980,2025-11-28,2244,0,0,True
DEL000122,POL013971,2025-05-20,612,0,2,False
DEL000123,POL067890,2024-10-17,1978,0,0,True
DEL000124,POL015907,2025-04-12,2351,0,0,True
DEL000125,POL069617,2026-01-06,1114,2,14,False
DEL000126,POL058009,2025-11-26,3084,0,0,True
DEL000127,POL071811,2025-07-08,202,0,0,True
DEL000128,POL062217,2026-04-15,2170,0,0,True
DEL000129,POL036348,2025-11-23,480,0,2,False
DEL000130,POL031359,2024-10-05,1562,0,0,True
DEL000131,POL030736,2024-09-17,1293,0,0,True
DEL000132,POL010562,2025-04-21,2013,0,0,True
DEL000133,POL020029,2024-10-05,623,0,1,False
DEL000134,POL043370,2024-08-10,418,0,0,True
DEL000135,POL055070,2025-06-16,964,0,0,True
DEL000136,POL075457,2026-06-21,650,2,0,True
DEL000137,POL039140,2025-11-28,88,0,2,False
DEL000138,POL071583,2025-09-01,2395,0,2,False
DEL000139,POL035775,2025-08-28,1265,0,0,True
DEL000140,POL052995,2026-01-15,1459,1,1,False
DEL000141,POL070009,2026-03-03,1606,0,0,True
DEL000142,POL003553,2025-05-11,105,0,0,True
DEL000143,POL060516,2025-03-12,679,0,0,True
DEL000144,POL027743,2025-06-16,2862,0,0,True
DEL000145,POL049693,2026-01-20,1357,0,0,True
DEL000146,POL010736,2024-08-15,2281,0,0,True
DEL000147,POL045871,2026-05-17,1401,0,0,True
DEL000148,POL005277,2026-01-27,1136,0,2,False
DEL000149,POL002672,2025-02-03,138,0,0,True
DEL000150,POL014994,2025-11-07,491,0,0,True
DEL000151,POL033587,2025-10-22,1690,0,2,False
DEL000152,POL015013,2025-02-18,894,5,2,False
DEL000153,POL014169,2025-12-04,1125,0,0,True
DEL000154,POL049193,2024-12-02,1826,0,0,True
DEL000155,POL031831,2026-02-15,564,0,0,True
DEL000156,POL078698,2025-08-25,3640,0,2,False
DEL000157,POL045509,2025-11-27,300,0,0,True
DEL000158,POL044726,2025-04-10,3109,0,0,True
DEL000159,POL013834,2025-09-07,2437,0,0,True
DEL000160,POL060259,2025-01-28,1486,0,1,False
DEL000161,POL068387,2026-01-08,269,0,10,False
DEL000162,POL070540,2026-05-04,1669,0,2,False
DEL000163,POL077657,2026-07-27,2503,0,0,True
DEL000164,POL011360,2025-05-13,3088,0,0,True
DEL000165,POL060911,2026-07-24,1069,0,0,True
DEL000166,POL003762,2026-07-08,356,0,0,True
DEL000167,POL027803,2026-06-23,1020,0,0,True
DEL000168,POL078140,2025-02-09,1215,0,1,False
DEL000169,POL067716,2026-03-07,1579,0,7,False
DEL000170,POL053272,2024-12-04,282,0,0,True
DEL000171,POL064333,2026-03-09,973,0,0,True
DEL000172,POL029046,2025-09-28,1068,0,0,True
DEL000173,POL076226,2026-02-13,3591,0,0,True
DEL000174,POL055772,2026-04-06,813,0,14,False
DEL000175,POL059474,2025-04-12,2460,0,0,True
DEL000176,POL025243,2024-12-10,3314,2,0,True
DEL000177,POL024268,2024-07-18,1528,0,0,True
DEL000178,POL077279,2025-10-30,1592,0,10,False
DEL000179,POL013177,2025-05-31,1305,0,3,False
DEL000180,POL023520,2024-09-14,3333,0,0,True
DEL000181,POL005966,2024-11-20,977,0,10,False
DEL000182,POL016552,2026-06-10,3166,0,0,True
