InspectionID,DeliveryID,InspectorID,InspectionDate,InspectedQuantity,PassedQuantity,FailedQuantity,InspectionScore,InspectionResult
INS000001,DEL000001,EMP0194,2025-10-05,2047,2047,0,98.79,Pass
INS000002,DEL000002,EMP0092,2024-12-30,4094,4089,5,91.71,Minor Issue
INS000003,DEL000003,EMP0136,2026-01-19,2666,2666,0,99.84,Pass
INS000004,DEL000004,EMP0006,2026-07-16,1844,1844,0,100.0,Pass
INS000005,DEL000005,EMP0165,2026-03-01,1060,1060,0,98.13,Pass
INS000006,DEL000006,EMP0041,2025-05-15,2019,2019,0,97.46,Pass
INS000007,DEL000007,EMP0091,2024-11-16,572,572,0,97.55,Pass
INS000008,DEL000008,EMP0044,2024-10-18,1787,1785,2,85.03,Minor Issue
INS000009,DEL000009,EMP0156,2025-03-08,2719,2719,0,98.23,Pass
INS000010,DEL000010,EMP0096,2024-11-09,1241,1241,0,95.57,Pass
INS000011,DEL000011,EMP0055,2024-11-15,2804,2804,0,97.44,Pass
INS000012,DEL000012,EMP0077,2025-03-21,2409,2409,0,96.11,Pass
INS000013,DEL000013,EMP0076,2026-06-01,2021,2021,0,97.47,Pass
INS000014,DEL000014,EMP0111,2025-07-20,1663,1662,1,83.09,Minor Issue
INS000015,DEL000015,EMP0183,2026-02-25,641,641,0,97.06,Pass
INS000016,DEL000016,EMP0123,2025-03-01,2049,2049,0,97.89,Pass
INS000017,DEL000017,EMP0061,2026-05-21,1792,1791,1,82.54,Minor Issue
INS000018,DEL000018,EMP0174,2025-03-12,2577,2577,0,99.54,Pass
INS000019,DEL000019,EMP0156,2025-09-28,2542,2542,0,98.31,Pass
INS000020,DEL000020,EMP0111,2026-06-26,1458,1458,0,97.79,Pass
INS000021,DEL000021,EMP0006,2025-01-19,1919,1917,2,84.76,Minor Issue
INS000022,DEL000022,EMP0046,2026-02-09,37,37,0,99.2,Pass
INS000023,DEL000023,EMP0170,2025-08-25,3838,3836,2,90.82,Minor Issue
INS000024,DEL000024,EMP0154,2024-11-03,2185,2185,0,96.0,Pass
INS000025,DEL000025,EMP0180,2025-03-19,1448,1448,0,97.2,Pass
INS000026,DEL000026,EMP0054,2026-07-06,1524,1524,0,97.63,Pass
INS000027,DEL000027,EMP0003,2024-10-15,443,443,0,95.29,Pass
INS000028,DEL000028,EMP0090,2026-03-27,375,375,0,96.41,Pass
INS000029,DEL000029,EMP0198,2024-10-15,1738,1738,0,95.34,Pass
INS000030,DEL000030,EMP0028,2024-12-18,1183,1182,1,83.64,Minor Issue
INS000031,DEL000031,EMP0184,2025-08-23,3641,3641,0,97.29,Pass
INS000032,DEL000032,EMP0080,2025-03-18,1711,1711,0,99.28,Pass
INS000033,DEL000033,EMP0054,2025-06-18,253,248,5,93.37,Minor Issue
INS000034,DEL000034,EMP0011,2026-02-22,1364,1364,0,97.89,Pass
INS000035,DEL000035,EMP0006,2026-03-02,1590,1590,0,97.04,Pass
INS000036,DEL000036,EMP0009,2024-09-15,1657,1657,0,96.66,Pass
INS000037,DEL000037,EMP0188,2026-07-07,440,435,5,84.06,Minor Issue
INS000038,DEL000038,EMP0042,2024-12-16,2884,2884,0,97.58,Pass
INS000039,DEL000039,EMP0054,2026-01-20,530,528,2,81.53,Minor Issue
INS000040,DEL000040,EMP0041,2026-03-19,3443,3443,0,99.65,Pass
INS000041,DEL000041,EMP0107,2026-04-16,1531,1531,0,99.95,Pass
INS000042,DEL000042,EMP0014,2025-05-28,3566,3566,0,96.99,Pass
INS000043,DEL000043,EMP0109,2026-01-13,1366,1366,0,97.84,Pass
INS000044,DEL000044,EMP0186,2025-12-14,1405,1385,20,88.02,Minor Issue
INS000045,DEL000045,EMP0142,2025-01-11,1906,1906,0,96.54,Pass
INS000046,DEL000046,EMP0011,2024-10-14,2332,2332,0,99.27,Pass
INS000047,DEL000047,EMP0162,2024-08-11,2218,2218,0,95.45,Pass
INS000048,DEL000048,EMP0115,2025-07-22,843,843,0,96.16,Pass
INS000049,DEL000049,EMP0007,2026-03-15,646,646,0,99.88,Pass
INS000050,DEL000050,EMP0172,2024-11-07,1079,1077,2,81.5,Minor Issue
INS000051,DEL000051,EMP0144,2024-10-16,1232,1232,0,99.27,Pass
INS000052,DEL000052,EMP0186,2025-01-07,1430,1430,0,95.73,Pass
INS000053,DEL000053,EMP0085,2025-07-07,894,894,0,95.51,Pass
INS000054,DEL000054,EMP0022,2024-12-22,3877,3877,0,98.37,Pass
INS000055,DEL000055,EMP0187,2025-11-19,621,621,0,98.01,Pass
INS000056,DEL000056,EMP0080,2025-12-07,818,818,0,95.57,Pass
INS000057,DEL000057,EMP0111,2026-01-03,2895,2895,0,95.47,Pass
INS000058,DEL000058,EMP0143,2024-10-25,1790,1790,0,98.39,Pass
INS000059,DEL000059,EMP0143,2026-02-01,657,656,1,84.33,Minor Issue
INS000060,DEL000060,EMP0041,2026-04-29,1441,1441,0,95.85,Pass
INS000061,DEL000061,EMP0146,2025-12-28,1894,1894,0,99.78,Pass
INS000062,DEL000062,EMP0042,2025-10-30,147,147,0,97.85,Pass
INS000063,DEL000063,EMP0001,2026-06-06,4440,4420,20,90.22,Minor Issue
INS000064,DEL000064,EMP0042,2024-11-02,1858,1857,1,91.13,Minor Issue
INS000065,DEL000065,EMP0193,2026-06-16,1664,1664,0,95.61,Pass
INS000066,DEL000066,EMP0042,2025-06-30,1322,1322,0,99.3,Pass
INS000067,DEL000067,EMP0129,2026-06-01,3339,3339,0,96.09,Pass
INS000068,DEL000068,EMP0129,2024-09-12,1242,1242,0,99.09,Pass
INS000069,DEL000069,EMP0096,2026-02-07,1300,1300,0,98.48,Pass
INS000070,DEL000070,EMP0011,2024-11-22,1173,1173,0,98.6,Pass
INS000071,DEL000071,EMP0041,2025-04-30,1942,1942,0,95.54,Pass
INS000072,DEL000072,EMP0162,2025-04-09,274,274,0,95.0,Pass
INS000073,DEL000073,EMP0046,2025-03-18,1077,1077,0,98.72,Pass
INS000074,DEL000074,EMP0089,2026-06-12,406,406,0,99.62,Pass
INS000075,DEL000075,EMP0174,2026-02-28,348,348,0,98.88,Pass
INS000076,DEL000076,EMP0134,2025-10-21,2905,2900,5,89.78,Minor Issue
INS000077,DEL000077,EMP0170,2024-12-16,1637,1632,5,91.69,Minor Issue
INS000078,DEL000078,EMP0080,2024-10-08,3922,3910,12,82.47,Minor Issue
INS000079,DEL000079,EMP0110,2026-04-02,2502,2502,0,98.86,Pass
INS000080,DEL000080,EMP0001,2025-12-15,1801,1801,0,98.33,Pass
INS000081,DEL000081,EMP0096,2026-07-04,941,941,0,97.33,Pass
INS000082,DEL000082,EMP0109,2026-05-14,2392,2392,0,99.91,Pass
INS000083,DEL000083,EMP0076,2025-12-26,679,678,1,92.35,Minor Issue
INS000084,DEL000084,EMP0186,2024-11-08,2682,2677,5,85.5,Minor Issue
INS000085,DEL000085,EMP0091,2026-04-14,825,825,0,99.76,Pass
INS000086,DEL000086,EMP0115,2026-02-06,1526,1526,0,95.14,Pass
INS000087,DEL000087,EMP0186,2024-11-16,1478,1473,5,88.97,Minor Issue
INS000088,DEL000088,EMP0028,2025-06-06,2928,2928,0,97.17,Pass
INS000089,DEL000089,EMP0001,2025-05-18,655,655,0,96.83,Pass
INS000090,DEL000090,EMP0193,2025-12-05,2102,2102,0,98.67,Pass
INS000091,DEL000091,EMP0134,2025-06-01,1956,1956,0,99.72,Pass
INS000092,DEL000092,EMP0060,2024-08-22,1944,1943,1,82.89,Minor Issue
INS000093,DEL000093,EMP0011,2025-08-19,122,122,0,97.39,Pass
