InventoryID,PartID,PlantID,CurrentStock,SafetyStock,ReorderLevel,LastUpdated
INV000001,PRT0895,PLT001,323,1479,1155,2026-05-18
INV000002,PRT0742,PLT006,1203,485,408,2026-04-04
INV000003,PRT0891,PLT003,1711,1244,827,2026-06-09
INV000004,PRT0217,PLT002,62,720,638,2026-06-15
INV000005,PRT0491,PLT002,6179,1618,1027,2026-06-13
INV000006,PRT0407,PLT002,1675,1524,1190,2026-03-28
INV000007,PRT0390,PLT004,2318,1230,856,2026-06-01
INV000008,PRT0268,PLT003,2526,1192,947,2026-03-29
INV000009,PRT0101,PLT006,3817,1150,994,2026-04-30
INV000010,PRT0937,PLT002,2623,1061,879,2026-06-08
INV000011,PRT0577,PLT002,187,859,596,2026-04-06
INV000012,PRT0567,PLT005,2136,1618,1041,2026-04-12
INV000013,PRT0157,PLT002,2418,1286,1049,2026-05-23
INV000014,PRT0854,PLT002,2333,775,518,2026-06-16
INV000015,PRT0264,PLT004,2765,1122,858,2026-05-02
INV000016,PRT0472,PLT002,4018,1581,1252,2026-06-16
INV000017,PRT0144,PLT006,1386,1600,1341,2026-06-23
INV000018,PRT0658,PLT001,4441,1219,909,2026-04-29
INV000019,PRT0968,PLT006,608,1173,715,2026-04-16
INV000020,PRT0141,PLT006,422,199,165,2026-06-18
INV000021,PRT0010,PLT002,618,573,355,2026-05-29
INV000022,PRT0633,PLT006,495,1135,836,2026-06-24
INV000023,PRT0676,PLT004,3958,1465,1289,2026-04-25
INV000024,PRT0013,PLT001,421,132,79,2026-06-08
INV000025,PRT0294,PLT001,4388,1184,966,2026-06-04
INV000026,PRT0826,PLT002,3527,1128,951,2026-05-22
INV000027,PRT0153,PLT002,1073,319,279,2026-06-08
INV000028,PRT0835,PLT003,516,493,387,2026-04-22
INV000029,PRT0383,PLT004,323,647,542,2026-06-21
INV000030,PRT0308,PLT006,1850,1040,800,2026-05-28
INV000031,PRT0879,PLT006,5355,1795,1533,2026-05-08
INV000032,PRT0389,PLT004,3320,1655,1008,2026-04-25
INV000033,PRT0720,PLT002,77,1231,914,2026-05-06
INV000034,PRT0661,PLT003,888,269,201,2026-04-25
INV000035,PRT0917,PLT005,781,1258,1123,2026-06-13
INV000036,PRT0923,PLT006,1731,1982,1214,2026-04-14
INV000037,PRT0048,PLT001,2220,1917,1476,2026-06-04
INV000038,PRT0578,PLT006,4448,1501,1317,2026-06-03
INV000039,PRT0017,PLT002,322,167,109,2026-04-30
INV000040,PRT0952,PLT001,3262,1302,837,2026-06-11
INV000041,PRT0581,PLT004,984,712,461,2026-03-29
INV000042,PRT0394,PLT006,2717,1486,1291,2026-04-28
INV000043,PRT0742,PLT001,1411,386,323,2026-06-07
INV000044,PRT0055,PLT001,2833,1125,926,2026-04-09
INV000045,PRT0349,PLT005,311,995,666,2026-05-21
INV000046,PRT0407,PLT003,4879,1674,1312,2026-06-16
INV000047,PRT0503,PLT002,461,160,126,2026-05-23
INV000048,PRT0443,PLT002,1537,828,634,2026-04-09
INV000049,PRT0088,PLT005,3113,1492,1157,2026-05-27
INV000050,PRT0085,PLT003,301,704,590,2026-05-13
INV000051,PRT0650,PLT002,1605,415,296,2026-05-19
