KPI_ID,SupplierID,Month,TotalReceived,TotalDefective,PPM,OnTimeDeliveryRate,AverageInspectionScore,ScrapCost,OpenCARCount,SupplierQualityScore,RiskLevel
KPI000001,SUP046,2025-10-01,36082,29,803.72,66.67,94.9,1115.2,15,74.87,High
KPI000002,SUP018,2024-12-01,32142,19,591.13,77.78,94.97,252.08,16,73.35,High
KPI000003,SUP058,2026-01-01,32119,21,653.82,59.09,93.54,898.03,11,71.51,High
KPI000004,SUP046,2026-07-01,29130,18,617.92,47.37,95.52,499.66,15,70.41,High
KPI000005,SUP033,2026-03-01,5375,0,0.0,83.33,98.69,0.0,16,79.61,Medium
KPI000006,SUP033,2025-05-01,24537,36,1467.17,83.33,91.62,1716.13,16,76.68,Medium
KPI000007,SUP010,2024-11-01,16686,0,0.0,81.82,97.36,0.0,9,85.88,Medium
KPI000008,SUP046,2024-10-01,7078,15,2119.24,71.43,88.21,488.4,15,73.43,High
KPI000009,SUP084,2025-03-01,47686,37,775.91,61.29,94.91,2182.03,14,74.99,High
KPI000010,SUP039,2024-11-01,25587,10,390.82,72.22,96.73,576.17,18,70.82,High
KPI000011,SUP065,2024-11-01,24687,8,324.06,61.54,92.8,420.89,11,75.22,Medium
KPI000012,SUP075,2025-03-01,24016,21,874.42,54.55,92.36,1011.68,15,70.62,High
KPI000013,SUP059,2026-06-01,9448,10,1058.43,80.0,96.43,303.84,14,75.87,Medium
KPI000014,SUP065,2025-07-01,38309,1,26.1,65.22,97.14,112.53,11,76.74,Medium
KPI000015,SUP016,2026-02-01,36750,13,353.74,60.87,93.91,467.02,26,74.05,High
KPI000016,SUP048,2025-03-01,45691,23,503.38,69.23,94.28,653.82,13,77.27,Medium
KPI000017,SUP064,2026-05-01,19315,12,621.28,78.57,94.59,512.03,10,81.05,Medium
KPI000018,SUP007,2025-03-01,62058,35,563.99,69.44,94.91,1312.15,12,80.91,Medium
KPI000019,SUP054,2025-09-01,24845,28,1126.99,85.71,93.79,1065.7,16,79.82,Medium
KPI000020,SUP067,2026-06-01,45130,35,775.54,82.76,94.09,2243.92,17,73.06,High
KPI000021,SUP031,2025-01-01,25577,25,977.44,63.16,95.63,409.62,6,83.29,Medium
KPI000022,SUP077,2026-02-01,36566,22,601.65,69.57,95.79,449.01,20,70.52,High
KPI000023,SUP005,2025-08-01,33344,14,419.87,50.0,93.97,666.21,16,68.68,High
KPI000024,SUP094,2024-11-01,27690,18,650.05,80.0,95.14,472.64,13,83.1,Medium
KPI000025,SUP031,2025-03-01,22542,20,887.23,73.33,97.18,283.58,6,86.02,Medium
KPI000026,SUP079,2026-07-01,18089,5,276.41,66.67,96.14,126.04,15,77.13,Medium
KPI000027,SUP014,2024-10-01,51150,27,527.86,54.17,93.17,939.67,14,69.38,High
KPI000028,SUP089,2026-03-01,25992,19,730.99,66.67,94.77,762.97,15,76.44,Medium
KPI000029,SUP083,2024-10-01,39681,71,1789.27,54.17,92.42,2491.51,14,73.42,High
KPI000030,SUP095,2024-12-01,33130,27,814.97,63.16,93.8,1872.56,11,78.85,Medium
KPI000031,SUP009,2025-08-01,25326,11,434.34,70.59,95.88,322.97,8,82.43,Medium
KPI000032,SUP062,2025-06-01,45098,19,421.3,63.64,95.8,787.74,8,83.21,Medium
KPI000033,SUP002,2026-02-01,21655,4,184.71,91.67,94.81,207.06,11,82.35,Medium
KPI000034,SUP077,2026-03-01,28658,15,523.41,68.75,95.58,279.09,20,70.47,High
KPI000035,SUP087,2024-09-01,37396,13,347.63,47.83,95.28,785.48,15,73.67,High
KPI000036,SUP007,2026-07-01,12492,32,2561.64,72.73,92.43,1213.12,12,77.74,Medium
KPI000037,SUP047,2024-12-01,14181,5,352.58,71.43,95.46,157.55,8,78.84,Medium
KPI000038,SUP037,2026-01-01,18125,19,1048.28,73.33,93.5,409.63,8,84.1,Medium
KPI000039,SUP024,2026-03-01,37275,22,590.21,66.67,95.01,945.29,16,74.31,High
KPI000040,SUP019,2026-04-01,32084,10,311.68,71.43,95.16,487.26,10,78.37,Medium
KPI000041,SUP020,2025-05-01,56359,42,745.22,61.76,92.93,1325.66,14,71.24,High
KPI000042,SUP057,2026-01-01,44797,24,535.75,59.26,94.23,747.22,18,70.11,High
KPI000043,SUP068,2025-12-01,22165,38,1714.41,43.75,94.59,1374.04,15,66.93,High
KPI000044,SUP069,2025-01-01,31695,34,1072.72,77.27,93.94,1179.36,10,78.5,Medium
KPI000045,SUP058,2024-10-01,19630,5,254.71,80.0,97.76,157.55,11,77.53,Medium
KPI000046,SUP012,2024-08-01,10036,1,99.64,85.71,94.8,31.51,18,77.05,Medium
KPI000047,SUP008,2025-07-01,29247,24,820.6,66.67,93.09,348.85,20,68.75,High
KPI000048,SUP027,2026-03-01,52059,16,307.34,63.33,96.18,585.18,13,74.24,High
KPI000049,SUP056,2024-11-01,58813,10,170.03,68.97,96.08,433.26,10,77.12,Medium
KPI000050,SUP088,2024-10-01,43875,7,159.54,52.17,95.67,382.61,16,74.94,High
KPI000051,SUP087,2025-01-01,19917,22,1104.58,81.82,92.99,518.78,15,80.66,Medium
KPI000052,SUP038,2025-07-01,37536,15,399.62,65.22,96.58,376.99,15,75.44,Medium
KPI000053,SUP036,2024-12-01,39741,49,1232.98,71.43,94.71,2175.27,22,74.09,High
KPI000054,SUP047,2025-11-01,8451,16,1893.27,80.0,92.22,354.49,8,77.9,Medium
KPI000055,SUP030,2025-12-01,35341,3,84.89,69.57,96.65,175.55,12,80.04,Medium
KPI000056,SUP050,2026-01-01,33883,35,1032.97,57.89,92.94,908.15,12,73.52,High
KPI000057,SUP049,2024-10-01,41057,25,608.91,81.25,94.35,476.03,9,84.12,Medium
KPI000058,SUP087,2026-02-01,8022,11,1371.23,33.33,93.42,579.54,15,68.0,High
KPI000059,SUP056,2026-04-01,39817,28,703.22,69.23,94.12,805.75,10,76.12,Medium
