POLineID,PO_ID,PartID,OrderedQuantity,UnitCost,LineTotal
POL000001,PO002562,PRT0933,3458,10.4,35963.2
POL000002,PO018539,PRT0224,1060,9.11,9656.6
POL000003,PO008041,PRT0952,1669,43.89,73252.41
POL000004,PO008141,PRT0387,1694,43.53,73739.82
POL000005,PO009552,PRT0331,1463,32.79,47971.77
POL000006,PO017502,PRT0032,2251,439.83,990057.33
POL000007,PO007195,PRT0194,1507,12.22,18415.54
POL000008,PO012657,PRT0264,2322,14.59,33877.98
POL000009,PO008745,PRT0835,3117,32.21,100398.57
POL000010,PO016735,PRT0098,3369,40.81,137488.89
POL000011,PO009896,PRT0600,2289,44.78,102501.42
POL000012,PO013626,PRT0933,835,10.4,8684.0
POL000013,PO010758,PRT0897,1345,28.97,38964.65
POL000014,PO016527,PRT0420,4568,126.84,579405.12
POL000015,PO003716,PRT0336,945,29.44,27820.8
POL000016,PO011851,PRT0423,3870,117.43,454454.1
POL000017,PO009885,PRT0668,199,110.3,21949.7
POL000018,PO015949,PRT0708,4863,134.81,655581.03
POL000019,PO008268,PRT0585,832,110.61,92027.52
POL000020,PO014381,PRT0670,289,79.3,22917.7
POL000021,PO013881,PRT0017,4495,52.84,237515.8
POL000022,PO003250,PRT0143,2867,21.77,62414.59
POL000023,PO014407,PRT0877,558,21.89,12214.62
POL000024,PO012875,PRT0032,1322,439.83,581455.26
POL000025,PO017400,PRT0740,1407,345.62,486287.34
POL000026,PO004847,PRT0272,4555,36.83,167760.65
POL000027,PO019153,PRT0914,3637,116.98,425456.26
POL000028,PO002194,PRT0320,3949,29.84,117838.16
POL000029,PO001686,PRT0420,4049,126.84,513575.16
POL000030,PO011449,PRT0624,3265,97.16,317227.4
POL000031,PO010792,PRT0034,199,51.88,10324.12
POL000032,PO000619,PRT0187,977,48.36,47247.72
POL000033,PO018652,PRT0763,3743,256.74,960977.82
POL000034,PO014607,PRT0941,3502,11.89,41638.78
POL000035,PO009943,PRT0816,3694,10.09,37272.46
POL000036,PO000230,PRT0668,2591,110.3,285787.3
POL000037,PO018245,PRT0420,285,126.84,36149.4
POL000038,PO002690,PRT0414,2845,375.51,1068325.95
POL000039,PO013054,PRT0072,1210,394.78,477683.8
POL000040,PO010172,PRT0447,3422,44.4,151936.8
POL000041,PO004408,PRT0341,3426,73.11,250474.86
POL000042,PO019072,PRT0356,576,14.85,8553.6
POL000043,PO004611,PRT0867,3094,41.62,128772.28
POL000044,PO002178,PRT0433,1159,119.71,138743.89
POL000045,PO016447,PRT0743,290,20.09,5826.1
POL000046,PO005736,PRT0392,944,124.65,117669.6
POL000047,PO009005,PRT0184,1296,48.71,63128.16
POL000048,PO017232,PRT0944,2445,127.95,312837.75
POL000049,PO016356,PRT0294,3200,65.35,209120.0
POL000050,PO019204,PRT0499,4321,16.44,71037.24
POL000051,PO011267,PRT0908,1052,220.56,232029.12
POL000052,PO006897,PRT0433,4371,119.71,523252.41
POL000053,PO002415,PRT0622,2295,48.29,110825.55
POL000054,PO017683,PRT0023,2302,155.46,357868.92
POL000055,PO008736,PRT0752,3131,11.23,35161.13
POL000056,PO007601,PRT0930,2807,31.42,88195.94
POL000057,PO018030,PRT0985,369,33.02,12184.38
POL000058,PO001395,PRT0764,1148,30.67,35209.16
POL000059,PO014752,PRT0978,1172,4.76,5578.72
POL000060,PO003066,PRT0458,883,14.47,12777.01
POL000061,PO008737,PRT0128,915,21.05,19260.75
POL000062,PO004390,PRT0112,1529,32.42,49570.18
POL000063,PO019992,PRT0042,2889,37.98,109724.22
POL000064,PO017107,PRT0515,4173,100.76,420471.48
POL000065,PO009547,PRT0070,4829,19.76,95421.04
POL000066,PO006423,PRT0980,3251,60.85,197823.35
POL000067,PO005519,PRT0385,1773,52.38,92869.74
POL000068,PO002976,PRT0793,1865,41.15,76744.75
POL000069,PO009877,PRT0600,2140,44.78,95829.2
POL000070,PO013895,PRT0029,3868,20.48,79216.64
POL000071,PO016782,PRT0071,4234,44.22,187227.48
POL000072,PO005247,PRT0639,2815,11.8,33217.0
POL000073,PO004195,PRT0112,4879,32.42,158177.18
POL000074,PO007739,PRT0558,2856,23.43,66916.08
POL000075,PO005365,PRT0138,1410,25.59,36081.9
POL000076,PO007152,PRT0125,586,212.73,124659.78
POL000077,PO010195,PRT0958,1567,180.05,282138.35
POL000078,PO007366,PRT0082,699,164.25,114810.75
POL000079,PO011878,PRT0894,2596,271.49,704788.04
POL000080,PO015832,PRT0838,4817,14.9,71773.3
POL000081,PO014816,PRT0646,119,26.62,3167.78
POL000082,PO008441,PRT0893,4731,263.05,1244489.55
POL000083,PO017479,PRT0679,4229,70.0,296030.0
POL000084,PO007461,PRT0081,1474,27.78,40947.72
POL000085,PO000567,PRT0388,341,148.55,50655.55
POL000086,PO010294,PRT0846,1934,154.81,299402.54
POL000087,PO019089,PRT0351,2589,177.22,458822.58
POL000088,PO008012,PRT0776,1417,36.2,51295.4
POL000089,PO016855,PRT0284,2891,12.3,35559.3
POL000090,PO002509,PRT0952,1115,43.89,48937.35
POL000091,PO019576,PRT0681,4667,58.99,275306.33
POL000092,PO006850,PRT0549,3802,44.56,169417.12
POL000093,PO017101,PRT0943,4231,55.71,235709.01
POL000094,PO008859,PRT0207,678,50.0,33900.0
POL000095,PO000110,PRT0449,2447,21.95,53711.65
POL000096,PO018741,PRT0920,706,144.45,101981.7
POL000097,PO008611,PRT0987,4371,110.25,481902.75
POL000098,PO014784,PRT0425,2352,55.5,130536.0
POL000099,PO005853,PRT0453,1826,15.05,27481.3
POL000100,PO000149,PRT0899,100,318.66,31866.0
POL000101,PO019168,PRT0171,477,16.25,7751.25
POL000102,PO003322,PRT0546,4649,17.5,81357.5
POL000103,PO015927,PRT0063,3476,13.67,47516.92
POL000104,PO019612,PRT0764,4507,30.67,138229.69
POL000105,PO006459,PRT0152,4725,88.61,418682.25
POL000106,PO004843,PRT0834,2275,46.74,106333.5
POL000107,PO001832,PRT0082,992,164.25,162936.0
POL000108,PO012367,PRT0177,4226,33.46,141401.96
POL000109,PO000669,PRT0090,3453,136.9,472715.7
POL000110,PO017718,PRT0815,332,75.6,25099.2
