PO_ID,SupplierID,PlantID,OrderDate,DueDate,POStatus,TotalAmount
PO000001,SUP004,PLT006,2025-01-31,2025-02-14,Closed,781973.24
PO000002,SUP018,PLT006,2024-09-30,2024-10-21,Open,2798650.24
PO000003,SUP012,PLT005,2025-12-24,2026-02-03,Closed,1255279.43
PO000004,SUP012,PLT002,2025-10-14,2025-10-22,Closed,392060.83
PO000005,SUP004,PLT005,2024-08-27,2024-10-11,Closed,331029.89
PO000006,SUP054,PLT002,2026-03-10,2026-04-20,Closed,1190279.38
PO000007,SUP001,PLT002,2025-11-25,2025-12-19,Closed,1448407.79
PO000008,SUP036,PLT002,2024-06-27,2024-07-25,Closed,1148273.66
PO000009,SUP014,PLT001,2025-05-31,2025-06-28,Closed,432295.28
PO000010,SUP045,PLT005,2025-12-26,2026-01-24,Closed,243277.17
PO000011,SUP094,PLT004,2024-10-08,2024-10-17,Closed,391631.61
PO000012,SUP011,PLT005,2025-11-03,2025-12-04,Closed,932168.38
PO000013,SUP074,PLT002,2024-06-30,2024-07-30,Closed,0.0
PO000014,SUP085,PLT002,2025-07-20,2025-07-29,Closed,785530.79
PO000015,SUP030,PLT001,2025-09-29,2025-10-11,Closed,1334807.43
PO000016,SUP082,PLT003,2024-12-19,2025-01-24,Closed,1103431.96
PO000017,SUP027,PLT006,2026-01-29,2026-02-27,Closed,203357.52
PO000018,SUP078,PLT006,2026-01-26,2026-02-06,Closed,813638.02
PO000019,SUP021,PLT004,2025-09-30,2025-10-22,Closed,715756.57
PO000020,SUP029,PLT006,2024-07-22,2024-09-02,Closed,205309.9
PO000021,SUP030,PLT001,2024-08-31,2024-09-10,Closed,645742.77
PO000022,SUP035,PLT001,2025-01-04,2025-02-05,Closed,1506948.18
PO000023,SUP092,PLT003,2025-12-19,2026-01-31,Closed,412518.46
PO000024,SUP051,PLT006,2025-06-12,2025-07-20,Closed,787128.2
PO000025,SUP018,PLT002,2024-12-08,2024-12-31,Closed,2378498.62
PO000026,SUP034,PLT006,2025-08-07,2025-09-17,Closed,129141.97
PO000027,SUP052,PLT003,2026-03-01,2026-04-14,Closed,1947927.72
PO000028,SUP066,PLT004,2025-05-09,2025-05-24,Open,438556.46
PO000029,SUP015,PLT002,2025-06-18,2025-06-28,Closed,391322.32
PO000030,SUP077,PLT001,2025-02-26,2025-04-01,Closed,74434.76
PO000031,SUP060,PLT005,2025-10-21,2025-12-05,Closed,648315.84
PO000032,SUP002,PLT006,2025-05-23,2025-07-04,Closed,562931.16
PO000033,SUP097,PLT003,2026-03-21,2026-05-01,Closed,1593598.13
PO000034,SUP015,PLT003,2024-08-22,2024-09-19,Closed,1029290.67
PO000035,SUP001,PLT006,2025-07-31,2025-09-05,Closed,624152.58
PO000036,SUP065,PLT002,2025-07-13,2025-08-05,Closed,239822.62
PO000037,SUP081,PLT003,2024-08-30,2024-09-12,Closed,0.0
PO000038,SUP078,PLT002,2024-07-03,2024-08-11,Closed,2020190.94
PO000039,SUP070,PLT005,2024-11-19,2024-12-06,Delayed,462372.24
PO000040,SUP042,PLT004,2024-07-06,2024-08-20,Open,427175.47
PO000041,SUP040,PLT002,2025-07-09,2025-08-08,Open,1354373.24
PO000042,SUP011,PLT001,2025-05-26,2025-07-08,Closed,570079.61
PO000043,SUP098,PLT005,2024-11-15,2024-11-26,Closed,302537.88
PO000044,SUP085,PLT004,2024-08-15,2024-08-30,Delayed,1373708.29
PO000045,SUP034,PLT005,2025-09-08,2025-09-25,Closed,1247016.77
PO000046,SUP028,PLT005,2025-11-15,2025-12-19,Closed,624329.4
PO000047,SUP092,PLT003,2025-04-20,2025-05-09,Closed,779829.44
PO000048,SUP057,PLT005,2026-01-16,2026-02-15,Closed,394650.87
PO000049,SUP029,PLT001,2025-05-29,2025-06-20,Closed,112179.6
PO000050,SUP071,PLT002,2025-07-03,2025-08-16,Closed,248719.92
PO000051,SUP010,PLT006,2025-02-15,2025-02-22,Closed,205895.52
PO000052,SUP009,PLT001,2024-12-23,2025-01-13,Closed,588980.38
PO000053,SUP066,PLT002,2025-09-10,2025-09-21,Closed,237396.31
PO000054,SUP028,PLT005,2024-09-10,2024-10-18,Open,419521.78
PO000055,SUP074,PLT004,2024-12-02,2025-01-14,Closed,342402.88
PO000056,SUP053,PLT002,2025-06-26,2025-08-02,Open,2858701.19
PO000057,SUP046,PLT004,2025-01-18,2025-02-21,Closed,849963.21
PO000058,SUP087,PLT006,2024-07-06,2024-07-16,Cancelled,827715.22
PO000059,SUP008,PLT004,2025-05-29,2025-06-11,Closed,300141.31
PO000060,SUP032,PLT002,2024-09-30,2024-10-13,Closed,260002.79
PO000061,SUP018,PLT004,2024-10-02,2024-11-06,Closed,1366018.27
PO000062,SUP032,PLT001,2025-07-28,2025-09-02,Closed,1599297.76
PO000063,SUP013,PLT001,2024-12-01,2025-01-12,Closed,789558.31
PO000064,SUP002,PLT001,2025-01-16,2025-02-26,Delayed,543021.3
PO000065,SUP022,PLT004,2026-04-14,2026-05-06,Closed,1234620.12
PO000066,SUP052,PLT001,2026-05-22,2026-06-11,Closed,1650774.38
PO000067,SUP050,PLT003,2025-03-03,2025-03-10,Delayed,287232.74
PO000068,SUP037,PLT004,2025-08-31,2025-10-06,Closed,4562557.89
PO000069,SUP085,PLT006,2026-04-24,2026-06-05,Closed,66960.67
PO000070,SUP038,PLT002,2025-09-16,2025-10-05,Delayed,389632.23
PO000071,SUP095,PLT005,2025-11-03,2025-12-17,Open,328824.49
PO000072,SUP008,PLT001,2026-05-19,2026-06-15,Closed,0.0
PO000073,SUP068,PLT002,2026-03-09,2026-04-17,Open,282175.54
PO000074,SUP011,PLT002,2025-08-16,2025-09-24,Open,217095.61
PO000075,SUP087,PLT002,2025-09-04,2025-09-15,Closed,4869256.02
PO000076,SUP032,PLT005,2024-07-20,2024-09-01,Closed,286082.54
PO000077,SUP054,PLT006,2026-06-18,2026-06-30,Closed,2096205.17
PO000078,SUP041,PLT003,2025-08-18,2025-09-27,Closed,286917.26
PO000079,SUP031,PLT003,2026-05-29,2026-06-25,Closed,606148.84
PO000080,SUP059,PLT003,2025-10-28,2025-11-23,Delayed,1424779.92
